Time;Command;AffectedRows;ElapsedTime
2018.03.27_00:49:35;DML_INSERT;100000;39202
2018.03.29_23:45:45;DML_INSERT;100000;39739
2018.03.29_23:46:33;DML_DELETE;100000;108
2018.03.29_23:47:37;DML_INSERT;100000;38940
2018.03.29_23:47:49;DML_DELETE;100000;499
2018.03.29_23:47:53;DML_DELETE;0;10
2018.03.29_23:51:55;DML_INSERT;100000;38909
2018.03.29_23:55:43;DML_SELECT;-1;120
2018.03.29_23:58:00;DML_UPDATE;100000;1127
2018.03.29_23:58:07;DML_UPDATE;100000;754
2018.04.01_15:17:13;DML_DELETE;100000;1409
2018.04.01_19:10:50;DML_INSERT;100000;38267
2018.04.01_19:11:02;DML_SELECT;-1;184
2018.04.01_19:11:05;DML_UPDATE;100000;781
2018.04.01_19:17:05;DML_SELECT;-1;101
2018.04.01_19:19:00;Egyedi: SELECT * FROM szakdoga."Tanulok";-1;108
2018.04.01_19:20:47;DML_DELETE;100000;554
2018.04.02_10:47:08;DML_SELECT;-1;906
2018.04.02_10:47:16;DML_UPDATE;0;38
2018.04.02_10:47:23;DML_UPDATE;0;0
2018.04.02_10:47:25;DML_UPDATE;0;0
2018.04.02_10:47:28;DML_UPDATE;0;4
2018.04.02_10:47:29;DML_UPDATE;0;0
2018.04.02_10:47:32;DML_SELECT;-1;0
2018.04.02_10:47:34;DML_SELECT;-1;0
2018.04.02_10:47:48;DML_DELETE;0;0
2018.04.02_10:48:32;DML_INSERT;100000;1021
2018.04.02_10:49:54;DML_SELECT;-1;134
2018.04.02_10:49:59;DML_UPDATE;100000;72
2018.04.02_10:53:04;DML_UPDATE;100000;576
2018.04.02_10:53:07;DML_UPDATE;100000;295
2018.04.02_10:53:09;DML_UPDATE;100000;674
2018.04.02_10:53:11;DML_UPDATE;100000;879
2018.04.02_10:53:12;DML_UPDATE;100000;489
2018.04.02_10:53:14;DML_UPDATE;100000;230
2018.04.02_10:53:16;DML_UPDATE;100000;759
2018.04.08_20:32:03;DML_DELETE;100000;1579
2018.04.08_20:32:44;DML_INSERT;100000;37464
2018.04.08_20:44:01;Egyedi: UPDATE szakdoga."Tanulok" SET "Email"='updatelt@gmail.com' WHERE 1=1;;100000;1607
2018.04.08_20:44:03;Egyedi: UPDATE szakdoga."Tanulok" SET "Email"='updatelt@gmail.com' WHERE 1=1;;100000;1818
2018.04.08_20:44:04;Egyedi: UPDATE szakdoga."Tanulok" SET "Email"='updatelt@gmail.com' WHERE 1=1;;100000;1695
2018.04.08_20:44:06;Egyedi: UPDATE szakdoga."Tanulok" SET "Email"='updatelt@gmail.com' WHERE 1=1;;100000;1612
2018.04.08_20:44:08;Egyedi: UPDATE szakdoga."Tanulok" SET "Email"='updatelt@gmail.com' WHERE 1=1;;100000;1760
2018.04.08_20:44:09;Egyedi: UPDATE szakdoga."Tanulok" SET "Email"='updatelt@gmail.com' WHERE 1=1;;100000;1657
2018.04.08_20:44:11;Egyedi: UPDATE szakdoga."Tanulok" SET "Email"='updatelt@gmail.com' WHERE 1=1;;100000;1778
2018.04.08_20:44:13;Egyedi: UPDATE szakdoga."Tanulok" SET "Email"='updatelt@gmail.com' WHERE 1=1;;100000;1692
2018.04.08_20:44:15;Egyedi: UPDATE szakdoga."Tanulok" SET "Email"='updatelt@gmail.com' WHERE 1=1;;100000;1701
2018.04.08_20:44:16;Egyedi: UPDATE szakdoga."Tanulok" SET "Email"='updatelt@gmail.com' WHERE 1=1;;100000;1882
2018.04.08_20:44:18;Egyedi: UPDATE szakdoga."Tanulok" SET "Email"='updatelt@gmail.com' WHERE 1=1;;100000;1781
2018.04.08_20:44:20;Egyedi: UPDATE szakdoga."Tanulok" SET "Email"='updatelt@gmail.com' WHERE 1=1;;100000;1611
2018.04.08_20:44:22;Egyedi: UPDATE szakdoga."Tanulok" SET "Email"='updatelt@gmail.com' WHERE 1=1;;100000;1810
2018.04.08_20:44:23;Egyedi: UPDATE szakdoga."Tanulok" SET "Email"='updatelt@gmail.com' WHERE 1=1;;100000;1737
